No,Name_of_Company,Address,Phone,Industry
17200.,"PUSPA WARDI SADATI, CV","Jl Raya Otonom No 25 Telagasari, Tangerang, Banten",021 59400977,Hio/dupa
17201.,"PUSPA, UD","Jl Patih Jelantik, Jembrana, Bali",036542084,Beras
17202.,PUSPASARI,"Kh Zainul Arifin Gg Kabupaten No 7, Malang, Jawa Timur",353028,Baju Muslim
17203.,"PUSPETINDO, PT","Jend A Yani Kotak Pos 176,  Jl, Gresik, Jawa Timur","3982111,3982112",Bejana Cryogenic
17204.,"PUSPITA GRETA TEXTILE ,PT","Jl Cintakarya No. 9 Ds. Cikopo Purwakarta, Purwakarta, Jawa Barat",0264-315667,Perajutan Textile
17205.,"PUSRI, PT  (UNIT PENGANTONGAN PUPUK)","Jl. Di Panjaitan No. 58, Cilacap, Jawa Tengah","0282-531134, 533662",Pupuk Urea
17206.,PUSTAKA AL KAUTSAR,"Cipinang Muara Raya No.63, Jakarta Timur, DKI Jakarta",021-8507590,Percetakan
17207.,"PUSTAKA BENGAWAN, CV","Jl. Pisang Raja No. 19, Sukoharjo, Jawa Tengah",0271-6727365,Buku Pelajaran
17208.,"PUSTAKA MEDIA UTAMA, CV","Jl. Ranca Bentang 97, Kota Cimahi, Jawa Barat",0226030975,Buku Agama
17209.,"PUSTAKA PELAJAR, UD","Celeban Timur Uh 111/ 548, Yogyakarta, D.I. Yogyakarta",0274-381542,Penerbit Buku
17210.,PUSTAKA SETIA CV,"Jl Bkr 162, Bandung, Jawa Barat",0225210588,Buku Pelajaran
17211.,PUTARAN DUA PULUH,"Rt.01 Rw 06 Dsn Klanting Desa Suwayono, Pasuruan, Jawa Timur",,38
17212.,"PUTERA BINTAN JAYA, PT","Jl Pelabuhan Sri Bay Bintan, Bintan, Kepulauan Riau",0771-61003,Es Balok
17213.,"PUTERA HARAPAN, CV","Jl.jend Sudirman Km 4,8, Tanjung Balai, Sumatera Utara","0623-596800,596500",Baling-baling
17214.,PUTERA MAKMUR ABADI. CV,"Jl. Raya Wonosobo Km. 2 Catgawen, Temanggung, Jawa Tengah",0293-597012,Pengolahan Kayu
17215.,"PUTERA MULYA TERANG INDAH,PT","Jl.ranca Jigang No.200, Bandung, Jawa Barat",022-5951602,Kain Blacu
17216.,"PUTERA SEJATI, CV","Jl Cibaligo 39, Kota Cimahi, Jawa Barat",022-6031698,Karung Plastik
17217.,PUTRA 166,"Jl Sutawangi Dusun V Jatiwangi, Majalengka, Jawa Barat",0233883765,Genteng
17218.,"PUTRA ABADI, PR","Rt 03/02 Sentul, Sidoarjo, Jawa Timur",,Rokok Kretek
17219.,"PUTRA ADI, UD.","Mt. Haryono Ii Jl, Nganjuk, Jawa Timur",0358 324764,Industri Mebel
17220.,PUTRA AGUNG,"Jl./z.hamid Gg. Sado No. 119, Medan, Sumatera Utara",,Tiang Parabola
17221.,"PUTRA AGUNG SETIA , PT (KAROSERI AGUSTUS","Jl. Letnan Tukiyat No.69 Blondo, Magelang, Jawa Tengah",(0293) 782600,Karoseri Mobil
17222.,PUTRA AL IBROHIM,"Makam Dalam, Jl, Gresik, Jawa Timur",3953253,Jamu Jawa
17223.,PUTRA ALI SENTOSA.PT,"Jl. Pondok Batu, Tapanuli Tengah, Sumatera Utara",0631-22772,Es Batangan
17224.,"PUTRA ANEKA, CV","Jl Teuku Umar No 7, Bandar Lampung, Lampung",0721-240925,Pakaian Jadi
17225.,"PUTRA ARESDA PURNAMA, PT","Jl.medan-t,morawa Km.9,5, Medan, Sumatera Utara",061-7867013,Ban Masak
17226.,"PUTRA BAKTI UTAMA,PT","Ja Suprapto 192, Jl, Bojonegoro, Jawa Timur",881783,Tembakau Krosok Sortir
17227.,"PUTRA BALI ADYAMULIA, PT","Jl Jend Gatot Subroto No 79 A, Garuntang, Bandar Lampung, Lampung",(0721) 486888,Lada Sortasi
17228.,"PUTRA BANDAR WIRETAMA, PT","Jl. P. Irian No. 1 Kim Ii, Deli Serdang, Sumatera Utara",061. 6851167,"Paku,mur,baut"
17229.,PUTRA BANGSAWAN(COLD STORAGE H.ZAENUDIN),"Kedungrejo, Ds, Banyuwangi, Jawa Timur",(0333)593180,Ikan Laut Beku
17230.,"PUTRA BANGUN CITRA MANDIRI, PT","Jl.talaga Mas I No.3          Kawsan Industri Cikupa, Tangerang, Banten",021-5961901-3,Baut
17231.,PUTRA BAROKAH,"Kp Solokan Jeruk Rt. 01/07, Bandung, Jawa Barat",022 5959260,Kain Sarung
17232.,PUTRA BERLIAN,"Dsn Babakan Rt. 39/18, Ciamis, Jawa Barat",,Eternit
17233.,"PUTRA BHAKTI, UD","Jl Kokrosono No.45, Semarang, Jawa Tengah",024-3547145,Garam Beryodium
17234.,"PUTRA BHINEKA PERKASA, PT","Pulau Moyo No. 5, Jl., Denpasar, Bali",(0361)720589,Kopi Bubuk
17235.,"PUTRA BINTANG SAMARINDA, PT","Jl Poros Samarinda Bontang Lempake Rt 57, Samarinda, Kalimantan Timur",0541-7082688,Industri Kasur Spring Bed
17236.,"PUTRA DAYA TIRTA KENCANA, PT","Jambe 15, Jl, Sidoarjo, Jawa Timur",8962411,Sandal Plastik
17237.,PUTRA DELTA,"Randegan Rt. 08/02, Sidoarjo, Jawa Timur",031 70178014,Rokok
17238.,"PUTRA DEWATA, PT","Jl Tapos Km  1, Bogor, Jawa Barat",,Audio Rak Tv Dari Kayu
17239.,"PUTRA DHARMA,  PT","Jl Rawa Bali I No.1 Kip Pulo Gadung, Jakarta Timur, DKI Jakarta",021-4608868,Kaleng
17240.,"PUTRA DJAYA WIDJAJA, CV","Nogosari, Ds, Pasuruan, Jawa Timur",631022,Tembakau Iris Kering
17241.,PUTRA DUNIA BARU HANDICRAFT,"Dk Krajan Rt.01/02, Kebumen, Jawa Tengah",0287-5505422,Bok Tas
17242.,"PUTRA FAJAR, CV","Gang Mardisan Km. 13.2, Deli Serdang, Sumatera Utara",061-7940436,Kerupuk
17243.,"PUTRA FLORA RIMBA TANI,PT","Dusun Ii Desa T.morawa, Deli Serdang, Sumatera Utara",7940172-79,Pengolahan Kayu
17244.,"PUTRA FRANSINDO UTAMA/PERKASA, PT","Jl Kosambi Timur No. 48, Tangerang, Banten",021 55932155,Kardus
17245.,"PUTRA GANDA JAYA PRATAMA, PT","Kp Nagrog Pamoyanan, Bogor, Jawa Barat",0251-211137,Bemper Mobil
17246.,"PUTRA HANKUK,PT","Jl Melati Rt 28/08 Wanaherang, Bogor, Jawa Barat",8671058,Soping Bag
17247.,"PUTRA HARAPAN, PT","Pugerkulon, Ds, Jember, Jawa Timur",721574,Beras
17248.,"PUTRA HARAPAN, UD","Wonorejo, Ds Rt38, Rw 07, Kediri, Jawa Timur",03547008864/ 0354443,Kerupuk Pati
17249.,PUTRA HARAPAN. UD,"Jl. Raya Kandangan Km.3, Temanggung, Jawa Tengah",0293-4900933,Mebel
17250.,"PUTRA HATAM, PT","Kp. Crewed Ds. Sukadamai, Tangerang, Banten",021-5969132,Batako Pres
17251.,PUTRA INDO PERKASA,"Tunjung Tirto, Jl Raya Perusahaan 2, Malang, Jawa Timur",471779,Pakaian Jadi
17252.,"PUTRA INDO PERKASA INDUSTRI, PT","Kawasan Industri Hyundai Blok C 10/i Ds Cibatu, Bekasi, Jawa Barat",8972647,Perakitan
17253.,PUTRA JAYA,"Kp.solokan Jeruk, Bandung, Jawa Barat",,Kain Sarung
17254.,PUTRA JAYA,"Sentul Rw 2/ Rt 7, Sidoarjo, Jawa Timur",,Rokok Kretek
17255.,PUTRA JAYA,"Sebani, Ds, Jombang, Jawa Timur",,Krupuk Uyel Goreng Minyak
17256.,"PUTRA JAYA ABADI,CV","Jl.sadang Rt,01 Rwq,05, Bandung, Jawa Barat",022-85961313,Sarung Tangan
17257.,"PUTRA JAYA ADI SENTOSA, PT","Joho 4, Jl, Sidoarjo, Jawa Timur",8912831,Cat
17258.,"PUTRA JAYA FOODS INDUSTRIES,PD","Jl.ry. Pandeglang No.88 Km.5, Serang, Banten",0254-250818,Kecap
17259.,"PUTRA JAYA KASUR  GAJAH, PT","Jl. Raya Curug Wetan Rt 01/01 No.5, Tangerang, Banten",021-5980158,Kasur
17260.,"PUTRA JAYA PRATAMA MANDIRI, PT.","Jl. Peta Utara No. 9, Jakarta Barat, DKI Jakarta",021-5402922,Percetakan
17261.,PUTRA JAYA ROTAN,"Trangsan Rt02/9, Sukoharjo, Jawa Tengah",0271-788834,Mebel Rotan
17262.,"PUTRA JAYA, CV","Kebon Agung 119, Sidoarjo, Jawa Timur",8832715,Pengelasan
17263.,"PUTRA JAYA, PB","Dsn Genteng Rt25/13 Kunir, Lumajang, Jawa Timur",0334520018,Beras
17264.,"PUTRA JAYA, UD","Desa Naman Jahe, Langkat, Sumatera Utara",,"Papan, Broti"
17265.,"PUTRA LINGGA JAYA, CV","Dusun Sirah Cipelang Ds Cipamekar, Sumedang, Jawa Barat",0261206015,Mebeul
17266.,PUTRA MANDIRI,"P Sudirman 66, Jl, Malang, Jawa Timur",0341 879447,Rokok Kretek
17267.,PUTRA MANDIRI,"Raya By Pass, Jl, Mojokerto, Jawa Timur",,Sepatu
17268.,PUTRA MANDIRI INTI PACK,"Watesan, Sidoarjo, Jawa Timur",,Printing Plastik
17269.,"PUTRA MANDIRI JAYA, CV","Margomulyo Indah I B/11, Jl, Surabaya, Jawa Timur",7482774,Moulding
17270.,PUTRA MANDIRI PRITINDO,"Jl.kamal Raya 88,, Jakarta Barat, DKI Jakarta",021-5550026,Barang Cetakan
17271.,"PUTRA MANDIRI, UD, PT/BIANTORO SODARGO","Raya Sumengko Km 315, Jl, Gresik, Jawa Timur",8972790,Kopi Bubuk
17272.,"PUTRA MANDIRI,CV","Dsn.genengan, Mojokerto, Jawa Timur",0321 512512,Kap Sandal
17273.,"PUTRA MANDIRI,PD","Jl.mundu Pesisir 69, Cirebon, Jawa Barat",,Biji Plastik
17274.,"PUTRA MANUNGGAL , UD","Jl. Lingkar Selatan Kedawung Dk Kedawung  Rt.04/02, Wonosobo, Jawa Tengah",,Kaso/penggergajian
17275.,PUTRA MATARAM ECI.PT,"Surowongso 399, Sidoarjo, Jawa Timur",8914880,Cat
17276.,"PUTRA MATARAM ESTETIKA COATING INT, PT","Ds Karangbong Depan Maspion Ii1,5 Km, Sidoarjo, Jawa Timur",8914880-83,Cat
17277.,"PUTRA MOJO SUKSES ABADI, PT","Purwosono-sumbersuko, Lumajang, Jawa Timur",0334887198,Pesagen Kayu
17278.,"PUTRA MULIA, CV","Jln. Besar Pinang Lombang B., Labuhan Batu Utara, Sumatera Utara",,Penggergajian Kayu Rambung
17279.,"PUTRA MUNA, UD (SUROSO)","Dk Rembangan, Rembang, Jawa Tengah",,Ikan Pindang
17280.,"PUTRA NUGRAHA, CV","Mojosongo Rt 006 Rw 009, Surakarta, Jawa Tengah",0271-851577,Buku Pelajaran Sekolah
17281.,"PUTRA NUGRAHA,CV","Desa Triyagan Rt 01 Rw 06, Sukoharjo, Jawa Tengah",0271-821878,Buku Pelajaran / Lks
17282.,"PUTRA NUSANTARA, CV","Krajan Gambirono, Ds, Jember, Jawa Timur",711535,Industri Penggergajian
17283.,"PUTRA PACITAN INDONESIA SEJAHTERA, PT","Dewi Sartika No.20 A, Jl, Pacitan, Jawa Timur",0357 886466,Rokok Kretek
17284.,PUTRA PAMILY,"Kp Kamasan Rt 02 Rw 01, Bandung, Jawa Barat",0225943044,Kue Sistik Dari Terigu
17285.,"PUTRA PANGKEP, UD","Jl. Arung Sabila, Pangkajene Dan Kepulauan, Sulawesi Selatan",2315858,Kecap
17286.,"PUTRA PATRIA ADIKARSA, PT","Pahlawan Km 1 No. 74, Jl, Kulon Progo, D.I. Yogyakarta",0274-774717,Rokok Sampurna
17287.,PUTRA PERKASA,"Siwalan Panji, Ds, Sidoarjo, Jawa Timur",8941193,Biji  Mente
17288.,"PUTRA PILE INDAH,PT","Jl. Raya Inti Blok C5 No.1 Biie Hyundai, Bekasi, Jawa Barat",8972255,Kain Bahan Boneka
17289.,"PUTRA PILIHAN PERKASA,PT","Jl.raya Dayeukolot Km.6,7 No.173, Bandung, Jawa Barat",,Pakaian Jadi
17290.,PUTRA PURNAMA INDAH CV,"Jl Branti Raya, Lampung Selatan, Lampung",0721-7573999,Coor Vinier
17291.,"PUTRA PUSAKA ESBE, PT","Jl. Majen Sutoyo No. 54, Tegal, Jawa Tengah",0283-491574,Obat Nyamuk  Bakar
17292.,"PUTRA RACHINDO SEJAHTERA,PT","Segoro Madu Ii/3, Jl, Gresik, Jawa Timur",3970168,"Rak Tv, Rak Vidio, Meja Komput"
17293.,"PUTRA RAHMAN, UD","Lingkungan Geres Lauq, Lombok Timur, Nusa Tenggara Barat",,Batu Apung Bersih
17294.,PUTRA RASTA CLUB,"Dusun Kalanganyar, Tabanan, Bali",,Pakaian Jadi Rajutan
17295.,"PUTRA REJEKI, UD (MUNARDI)","Desa Purworejo Rt 05 Rw 02, Rembang, Jawa Tengah",0295-692688,Ikan Kering
17296.,"PUTRA SAHABAT TEXTILE, PT (PUSATEX)","Watusalam Rt 5/3, Pekalongan, Jawa Tengah",0285-4417971,Sarung Palekat
17297.,PUTRA SAMUDRA,"Kp. Laok Bindungrt.02/04ds.landangan, Situbondo, Jawa Timur",,Ikan Pindang
17298.,"PUTRA SEJAHTERA,PT","Jl.raya Jonggol, Bogor, Jawa Barat",82495855,Palet
17299.,PUTRA SETRA/SUKA SETRA,"Jl Sudirman No 28 Garut, Garut, Jawa Barat",0262-233860,Kulit Bahan Sepatu
17300.,"PUTRA SULTRA SAMUDRA, PT","Jl. Samudra No. 1, Kendari, Sulawesi Tenggara",0401-394598,Jasa Reparasi Kapal
17301.,"PUTRA SUMATRA, CV","Jl Sadang Sekekukumbung Rt 04/02, Bandung, Jawa Barat",,Kue Basah
17302.,PUTRA SUMBER JATI.CV,"Raya Menganti Ds.sidomulyo.jl, Gresik, Jawa Timur",7913019,Kusen Dan Daun Pintu
17303.,"PUTRA SUMBER UTAMA TIMBER, PT","Ds Sarang Burung, Muaro Jambi, Jambi",(0741) 23972,Plywood
17304.,"PUTRA SUMUT,PD","Jl. Mundupesisir    Gangsimanis No.24, Cirebon, Jawa Barat",0231-510507,Plastik
17305.,PUTRA TAMA JAYA. CV,"Jl. Raya Parakan Km.2, Temanggung, Jawa Tengah",0293-598724,Pengolahan Kayu
17306.,"PUTRA TEDJA SAMPURNA, PT","Raya Arjosari 67, Jl, Pasuruan, Jawa Timur","422792,481611",Baju Dan Celana
17307.,PUTRA TEMU REJEKI PENGGILINGAN PADI,"Raya Belung.jl, Malang, Jawa Timur",0341 787903,Beras
17308.,PUTRA TIMUR INDONUSA,"Manyar Ii Rt 002/15 No.35, Jakarta Barat, DKI Jakarta",021-5551443,Sol Sepatu
17309.,"PUTRA TIMUR PRIMA SPONT, PT","Jl Aria Kemuning No.35 Rt 003/002 Periuk Jaya Jati Uwung, Tangerang, Banten",021-5582464-65/75,"Industri Spont, Sol, Plastik"
17310.,PUTRA TUNGGAL,"Dusun Pamokalan Rt.023/08, Ciamis, Jawa Barat",0265-420488,Kue Kering/semprong
17311.,"PUTRA UNGGUL, PT","Jl. Tunggal Ika No.3, Kupang, Nusa Tenggara Timur",0380-829313,Furniture
17312.,PUTRAMA MEBEL/ ASEP,"Kp.haur Pugur Rt02/03, Bandung, Jawa Barat",,Lemari
17313.,"PUTRASEAN RUBBER INDUSTRI,PT,PTUD","Raya Mastrip 17b, Jl, Surabaya, Jawa Timur",7661203,Karet Buatan
17314.,PUTRI AYU BALI,"Jl. Mulawarman No. 2a, Gianyar, Bali",0361 944278,Kerajinan Kayu Rotan Bambu
17315.,"PUTRI AYU, INDUSTRI TENUN ANTIK","Koto Tinggi Nagari Pandai Sikek, Tanah Datar, Sumatera Barat",0752 498002,Kain Tenun Songket
17316.,PUTRI BALI,"Jl. Manik No. 1a, Gianyar, Bali",0361 943055,Kain Endek
17317.,"PUTRI CHANDRA, CV","Jl. Boulevard Raya Aaz No.25 Gading Serpong, Tangerang, Banten",021 5473240,Surat Kabar / Koran
17318.,PUTRI CHANIAGO,"Jl. Imam Bonjol Payakumbuh, Payakumbuh, Sumatera Barat",-,Kerupuk Karak Kaliang
17319.,PUTRI DEWI LAUNDRI,"Wonoyoso G-2 Buaran, Pekalongan, Jawa Tengah",0285 427316,Laundri
17320.,"PUTRI EKA MAJU,PT","Jl.yos Sudarso Kawasan Kim Medan, Medan, Sumatera Utara",061-6851817-6851235,Es Balok
17321.,"PUTRI GELORA JAYA, PT","Kepatihan Industri No. 9, Jl, Gresik, Jawa Timur",7991615-18,Kotak Rokok
17322.,PUTRI JAYA,"Kp Suka Senang, Karawang, Jawa Barat",0264301944,Boneka Panda
17323.,PUTRI JAYA,"Sebani, Dsn, Jombang, Jawa Timur",,Krupuk
17324.,PUTRI KEMBAR,"Besuki, Situbondo, Jawa Timur",,Kerupuk
17325.,"PUTRI KEMBAR JAYA, UD(ALI IMRON)","Muncar, Dsn, Banyuwangi, Jawa Timur",(0333)593600,Ikan Laut Beku
17326.,PUTRI MANDIRI BATU PECAH,"Jl Sendang Rejo Km.2, Pati, Jawa Tengah",0295-325749482,Batu Pecah
17327.,PUTRI MINANG,"Kelurahan Kubu Gadang   Kota  Payakumbuh, Payakumbuh, Sumatera Barat",(0752) 93950,Kerupuk Karabu Saga
17328.,PUTRI PERWIRA SARI,"Jl Caringin Rt 02/06, Bekasi, Jawa Barat",,Percetakan
17329.,PUTRI SALJU,"Manyar Raya Rt 001/011 No. 1, Jakarta Barat, DKI Jakarta",,Bihun
17330.,"PUTRI SALJU, PT","Tegalrejo Rt.03/11,  Dagen, Karanganyar, Jawa Tengah",0271-825306-825260,Es Batu
17331.,PUTRI SEKAWAN COLLECTION,"Jl. Kenari Iii Rt 09 Rw 02, Tegal, Jawa Tengah",0283-442171,Pakaian Jadi
17332.,"PUTRI SRIKANDI, CV","Asem 1/5, Jl, Surabaya, Jawa Timur",5356495,Percetakan Folio
17333.,PUTRI TUNGGAL,"Blok Balong Barat Ds Salawana, Majalengka, Jawa Barat",,Genteng Dari Tanah Liat
17334.,"PUTRI TUNGGAL ANUGRAH ,CV","Kp Krajan Rt.12/03 Marancang, Purwakarta, Jawa Barat",081385664279,Rayon Tow
17335.,PUTRI TUNGGAL DEWI.UD,"Aip Mugiman Gg.pesantren Rt.02 Rw.02,jl, Bondowoso, Jawa Timur",0332 - 420114,Kripik Singkong
17336.,"PUTRI TUNGGAL, UD (RAJUNGAN SUMONO)","Jl. Yos Sudarso Gg. Lowang, Dukuh Seturi Rt 02 Rw 08, Batang, Jawa Tengah",08156923912,Rajungan
17337.,PUTRO GADING,"Kyai Sepuh Gg V No 2, Rt.2.rw.6,jl, Pasuruan, Jawa Timur",0343 420425,Kursi Kayu
17338.,"PUTU WIJAYA, PK","Keling, Jepara, Jawa Tengah",,Kapuk
17339.,PUTUT PENGRAJIN PERAK,"Dsn. Krajan Rt 001 Rw 01, Lumajang, Jawa Timur",0334520939,Perhiasan Perak
17340.,PUYUH PLASTIK,"Rungkut Industri Ii/41 A, Jl, Surabaya, Jawa Timur",8410851,Tali Rafia
17341.,PWU JATIM /PURI.PT,".tanjung Anom 19-21.jl, Surabaya, Jawa Timur",,Percetakan
17342.,PY ATLANTIC OCEAN PAINT,"Petemon Kali 58.jl, Surabaya, Jawa Timur",,Industri Cat
17343.,"PYRAMID CAHAYA MULIA CHEM & COS FAC, PT","Dsn Damean, Ds Kepulungan, Pasuruan, Jawa Timur",631112,Minyak Rambut
17344.,PYRAMID GENTENG,"Jl. Jos Sudarso No. 116, Manado, Sulawesi Utara",0431-864540,Genteng Beton
17345.,"PYRAMID MEGAH SAKTI, PT","Jl.kima I/e-1, Makassar, Sulawesi Selatan",,Biskuit
17346.,"PYRAMID MULIAPAK, PT","Kp Cisereh Hauh Rt03/03 Desa Cukanggalih-curug, Tangerang, Banten",021 5982353,Barang Dari Plastik
17347.,"PYRAMID, NV","Kalimas Timur 216-218, Jl, Surabaya, Jawa Timur",3521949,Botol
17348.,QADAR MUKTI,"Kamp.pojok Campaka Mekar, Bandung Barat, Jawa Barat",022-92150007,Kapur Tembok
17349.,QINA TAS (SUBANDI),"Jl. Pattimura No. 156 Rt 05/01, Kudus, Jawa Tengah",0291-434590,Tas Sekolah
17350.,"QUANTUM KEMASINDO INDAH, PT","Jl Waru Doyong No 89 Rt 09/04 Jayanti, Tangerang, Banten",021 5952748,Kemasan Dari Karton
17351.,"QUANTUM TOSAN INTL, PT","Desa Curug, Bogor, Jawa Barat",0251610325,Kasur Busa Spring Bed
17352.,"QUANTUM, PT","Jl. Salembaran Jati 128, Tangerang, Banten",021 55593818,Sol Sandal/sepatu Dari Limbah
17353.,"QUARTINDO SEJATI FURNITRAMA, PT","Jl. Proyek Pelud No. 1, Tangerang, Banten",021-5555089,Pakaian Jadi
17354.,"QUATRA JASA MINERAL, PT","Dusun Siroto Karangmanggis, Kendal, Jawa Tengah",0294-571394,Aqua
17355.,"QUATRO HAKIMO PERKASA, PT","Jl. Cimuncang No. 46, Bandung, Jawa Barat",022-7271719,Sepatu
17356.,"QUEEN HER CHEMICALS, PT","Jl. Raya Candi 55, Sidoarjo, Jawa Timur",031-8965912,Lem
17357.,"QUEST INTERNATIONAL IND,PT","Jl.rya Bogor Km.35 Cimanggis, Depok, Jawa Barat",8740379,Essence
17358.,"QUINTRIX, CV","Jl. Dukuh Setro Rawasan V/4, Surabaya, Jawa Timur",031-3897793,Sepatu
17359.,"QUIRA TERASTIKA, PT","Jl. Ring Road Barat No 15,  Somodaran, Sleman, D.I. Yogyakarta",0274-617282,Mebel
17360.,"QUTY KURNIA,PT","Jl Babakan Cikao Ds Bbk Cikao Po Box 124 Purwakarta, Purwakarta, Jawa Barat",0264-201303,Mainan Anak
17361.,R. PRIBADI,"Daleman, Sleman, D.I. Yogyakarta",,Tembakau Krosok
17362.,"R.M.  RAJIMAN, UD","Krajan Rt 07 / I, Semarang, Jawa Tengah",0298-592181,Papan
17363.,"RABBIT PRINTING,PT","Jl Simpang Sari No 11  Kel Sukamiskin, Bandung, Jawa Barat",022-7103153,Sablon(printing)
17364.,"RABERINDO PRATAMA, PT","Desa Campurejo, Kendal, Jawa Tengah",0294-571351,Karet Crum Raber
17365.,"RACER TECHNOLOGY BATAM, PT","Komplek Hijrah Blok F No. 3 Batam Centre, B A T A M, Kepulauan Riau",0778-466612,Moulding Dari Plastik
17366.,"RACHBINI LEATHER, PT","A Yani 1 Jl, Sidoarjo, Jawa Timur",8543331,Kulit Sama'an
17367.,"RADAR SULTENG MEMBANGUN, PT","Jl Yos Sudarso No.33, Palu, Sulawesi Tengah",0451-454306,Percetakan Koran
17368.,"RADIA, PD","Jln. Yos Sudarso 178-179, Mataram, Nusa Tenggara Barat",0370 635733,Tembakau Susur
17369.,"RADIANCE FOOD, PT.","Jl. Raya Menceng No 39 Tegal Alur, Jakarta Barat, DKI Jakarta",021-5550963,Makanan Ringan
17370.,"RADIOS APIRJA SORONG, PT","Klalin I Distrik Aimas Kab Sorong, Sorong, Papua Barat",0951-3100248,Pengolahan Dan Pengawetan Ikan
17371.,"RADJIN, PT (PERUSAHAAN DAGANG & INDUSTRI","Kalibutuh 189-191,jl, Pasuruan, Jawa Timur",5320921,Pipa Spiral
17372.,RAFI BORDIR,"Dsn Krajan Wonokerto, Pasuruan, Jawa Timur",0343-7758117,Bordir Mukena
17373.,RAFIDAINIMANI SUNGKONO APSARI,"Jl.h.goden No. B-9, Jakarta Selatan, DKI Jakarta",021 7650306,Ladies Wear
17374.,RAFILA SANDAL,"Ciheran Kaum Rt 02 10, Bogor, Jawa Barat",0251-422351,Sandal Dari Tali Gasper
17375.,"RAGA JAYA, UD","Krajan, Dsn, Banyuwangi, Jawa Timur",(0333)591259,Peti Kemas Dr Kayu
17376.,"RAGAM JAYA ,PT","Jl Menganti Jeruk 245a, Surabaya, Jawa Timur",031 7525152,Bak Truck
17377.,"RAGAM JAYA UTAMA, CV","Jl. Leuwi Gajah Nanjung No. 90, Kota Cimahi, Jawa Barat",0226670974,Kain
17378.,RAGAM PURNA SEJAHTERA/ RATU PURNAMA SARI,"Jl Joyo Dikromo No. 43 Kawasan Industri Lw. Gajah, Kota Cimahi, Jawa Barat",022-6031186,Barang Dari Karet / Rubber
17379.,RAGAM USAHA PRIMA MANDIRI.PT,"Ds. Borowetan, Purworejo, Jawa Tengah",0275-324432,Beton Cor Bantalan Kereta Api
17380.,"RAGATEX, PT","Jl. Pramuka Simbang Wetan Buaran, Pekalongan, Jawa Tengah",0285-428090,Sarung
17381.,RAGI TAPE CAP JEMPOL,"Jl. Cendana No. 28, Blora, Jawa Tengah",0296-531967,Ragi Tape
17382.,RAGI TAPE N K L,"Jl. Cokroaminoto Rt 1/9 Jagalan, Surakarta, Jawa Tengah",44650,Ragi Tape
17383.,RAGIL CRAFT,"Gamplong I, Sumber Rahayu, Sleman, D.I. Yogyakarta",081-21583657,Industri Selendang
17384.,"RAHADICIPTA PRIMASATYA, PT","Jl. Gajah Tunggal, Tangerang, Banten",5903215,Kantong Kertas
17385.,RAHAYU,"Kp Cikawung Rt.19/04, Subang, Jawa Barat",0813120404111,Sapu Ijuk
17386.,"RAHAYU SANTOSA, PT","Jl Raya Bogor Jakarta Km 48 Kel Nanggewer Mekar, Bogor, Jawa Barat",021-8752530,Karoseri Bus
17387.,"RAHAYU, KACANG ASIN","Nusa Kambangan 99 Z, Jl., Denpasar, Bali",(0361)225146,Kacang Asin
17388.,RAHAYU/ENDANG,"Jl Selacai Ds.selamanik Rt.13/11, Ciamis, Jawa Barat",,Kripik Pisang
17389.,RAHMA DONAT,"Jl.nanas Iii Rt.01/11, Bogor, Jawa Barat",021-99868574,Donat
17390.,RAHMAD,"Rt.02/02 Kp. Tanah Anyar, Situbondo, Jawa Timur",0338672871,Kalung Dari Kerang
17391.,"RAHMAD ABADI, UD","Dsn. Jedong Ds. Sekarputih, Gresik, Jawa Timur",031 70748177,Mebel
17392.,RAHMAD INDAH,"Desa Jepat Lor Rt 04 Rw 01, Pati, Jawa Tengah",0295-452671,"Bis Beton, Tiang Beton"
17393.,RAHMAD JAYA,"Tempel Rt.6/rw.2, Sidoarjo, Jawa Timur",,Krupuk
17394.,"RAHMAD, UD","Dsn. Bulukandang, Pasuruan, Jawa Timur",0343633581,Komponen Gitar
17395.,RAHMAH ABADI FURNITURE,"Ds  Wedelan   Rt 02/05, Jepara, Jawa Tengah",08122926795,Kursi
17396.,RAHMAN / BRUNAI,"Jl. Abd. Azis Amuntai, Hulu Sungai Utara, Kalimantan Selatan",0527 61179,Kopiah Haji
17397.,RAHMAN MAKMUR.CV,"Suwaluh Utara Rt.05, Sidoarjo, Jawa Timur",8976084,Tas Belanja Dari Kertas
17398.,RAHMAN TEJA,"Kejapanan Rt 05/13, Ds, Pasuruan, Jawa Timur",852229,Roti Kering
17399.,"RAHMANIA, UD","Jl.poros Polmas No 21, Pinrang, Sulawesi Selatan",921681,Beras
17400.,RAHMAT CHANIAGO,"Jl. Sri Rejeki No. 50a Payakumbuh, Payakumbuh, Sumatera Barat",0752-90796,Kerupuk Karak Kaliang
17401.,RAHMAT HIDAYAT/CEREMAI INDAH PERKASA,"Blok Cengkaruk, Cirebon, Jawa Barat",0231321280,Rotan Furniture
17402.,RAHMAT INDAH GILINGAN PADI,"Desa Permata, Bone Bolango, Gorontalo",081342107979,Beras
17403.,"RAHMAT JAYA SEJAHTERA ABADI, PT","Jl. Kamal Muara 3 No. 9 002/03, Jakarta Utara, DKI Jakarta",021-5553033,"Cat Tembok ,logam"
17404.,"RAHMAT NUR, CV","Pulau Sabutung Utara, Pangkajene Dan Kepulauan, Sulawesi Selatan",,Daging Kepiting
